sale_date,medicine_name,manufacturer,storage_condition,quantity_sold,temperature,flu_season,rain,Unit_type
05/01/2019,Salonpas,Hisamitsu,Dry place,4572,17.13,1,0,gói
05/01/2019,Smecta,Ipsen,Dry place,2515,17.76,1,0,gói
05/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2552,17.55,1,0,chai
05/01/2019,V-Rohto,Rohto,Cool place,3334,18.44,1,0,chai
05/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3787,16.32,1,0,hộp
05/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1510,17.29,1,0,lọ
05/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3520,16.75,1,0,chai
06/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1345,18.03,1,0,chai
06/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1051,17.20,1,0,hộp
06/01/2019,Coldrex,GSK,Room temperature,3073,18.63,1,0,hộp
06/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3210,17.45,1,0,hộp
06/01/2019,Loratadine 10mg,Sanofi,Room temperature,1504,17.84,1,0,hộp
06/01/2019,Omeprazole 20mg,STADA,Room temperature,1627,18.89,1,0,hộp
06/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4136,18.72,1,0,hộp
06/01/2019,Salbutamol inhaler,GSK,Cool place,1357,19.02,1,0,chai
06/01/2019,Salonpas,Hisamitsu,Dry place,4600,17.15,1,1,gói
06/01/2019,Smecta,Ipsen,Dry place,2529,17.79,1,1,gói
06/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2572,17.57,1,1,chai
06/01/2019,V-Rohto,Rohto,Cool place,3357,18.40,1,0,chai
06/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3812,16.41,1,0,hộp
06/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1519,17.34,1,0,lọ
06/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3538,16.78,1,1,chai
07/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1353,18.44,1,0,chai
07/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1094,17.33,1,0,hộp
07/01/2019,Coldrex,GSK,Room temperature,3236,18.89,1,1,hộp
07/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3313,16.89,1,0,hộp
07/01/2019,Loratadine 10mg,Sanofi,Room temperature,1540,18.00,1,0,hộp
07/01/2019,Omeprazole 20mg,STADA,Room temperature,1677,18.78,1,1,hộp
07/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4197,18.11,1,1,hộp
07/01/2019,Salbutamol inhaler,GSK,Cool place,1407,19.00,1,1,chai
07/01/2019,Salonpas,Hisamitsu,Dry place,4815,17.67,1,0,gói
07/01/2019,Smecta,Ipsen,Dry place,2614,18.11,1,0,gói
07/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2643,17.00,1,0,chai
07/01/2019,V-Rohto,Rohto,Cool place,3507,17.89,1,0,chai
07/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3967,16.56,1,0,hộp
07/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1571,17.56,1,1,lọ
07/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3620,16.78,1,1,chai
08/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1387,18.23,1,0,chai
08/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1089,17.46,1,1,hộp
08/01/2019,Coldrex,GSK,Room temperature,3229,18.63,1,0,hộp
08/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3313,17.04,1,0,hộp
08/01/2019,Loratadine 10mg,Sanofi,Room temperature,1542,17.75,1,0,hộp
08/01/2019,Omeprazole 20mg,STADA,Room temperature,1677,18.82,1,0,hộp
08/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4236,18.41,1,1,hộp
08/01/2019,Salbutamol inhaler,GSK,Cool place,1405,18.93,1,0,chai
08/01/2019,Salonpas,Hisamitsu,Dry place,4786,17.35,1,1,gói
08/01/2019,Smecta,Ipsen,Dry place,2603,18.03,1,0,gói
08/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2664,17.18,1,0,chai
08/01/2019,V-Rohto,Rohto,Cool place,3491,18.08,1,0,chai
08/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3967,16.56,1,1,hộp
08/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1563,17.47,1,0,lọ
08/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3650,16.97,1,0,chai
09/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1418,18.02,1,0,chai
09/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1085,17.55,1,0,hộp
09/01/2019,Coldrex,GSK,Room temperature,3222,18.38,1,1,hộp
09/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3314,17.19,1,1,hộp
09/01/2019,Loratadine 10mg,Sanofi,Room temperature,1544,17.55,1,0,hộp
09/01/2019,Omeprazole 20mg,STADA,Room temperature,1677,18.85,1,0,hộp
09/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4273,18.64,1,1,hộp
09/01/2019,Salbutamol inhaler,GSK,Cool place,1404,18.86,1,0,chai
09/01/2019,Salonpas,Hisamitsu,Dry place,4761,17.08,1,0,gói
09/01/2019,Smecta,Ipsen,Dry place,2595,17.96,1,1,gói
09/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2684,17.35,1,1,chai
09/01/2019,V-Rohto,Rohto,Cool place,3477,18.25,1,1,chai
09/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3967,16.57,1,1,hộp
09/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1557,17.41,1,1,lọ
09/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3674,17.13,1,0,chai
10/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1444,17.83,1,0,chai
10/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1082,17.60,1,0,hộp
10/01/2019,Coldrex,GSK,Room temperature,3213,18.15,1,1,hộp
10/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3315,17.33,1,0,hộp
10/01/2019,Loratadine 10mg,Sanofi,Room temperature,1547,17.39,1,1,hộp
10/01/2019,Omeprazole 20mg,STADA,Room temperature,1677,18.87,1,1,hộp
10/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4308,18.82,1,1,hộp
10/01/2019,Salbutamol inhaler,GSK,Cool place,1403,18.80,1,0,chai
10/01/2019,Salonpas,Hisamitsu,Dry place,4739,16.85,1,0,gói
10/01/2019,Smecta,Ipsen,Dry place,2590,17.90,1,0,gói
10/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2701,17.52,1,0,chai
10/01/2019,V-Rohto,Rohto,Cool place,3466,18.39,1,1,chai
10/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3966,16.58,1,0,hộp
10/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1553,17.37,1,0,lọ
10/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3691,17.25,1,1,chai
11/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1466,17.65,1,0,chai
11/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1079,17.64,1,0,hộp
11/01/2019,Coldrex,GSK,Room temperature,3203,17.96,1,0,hộp
11/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3316,17.46,1,1,hộp
11/01/2019,Loratadine 10mg,Sanofi,Room temperature,1549,17.26,1,0,hộp
11/01/2019,Omeprazole 20mg,STADA,Room temperature,1677,18.88,1,0,hộp
11/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4338,18.96,1,1,hộp
11/01/2019,Salbutamol inhaler,GSK,Cool place,1402,18.75,1,1,chai
11/01/2019,Salonpas,Hisamitsu,Dry place,4721,16.67,1,1,gói
11/01/2019,Smecta,Ipsen,Dry place,2586,17.85,1,0,gói
11/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2717,17.68,1,1,chai
11/01/2019,V-Rohto,Rohto,Cool place,3458,18.51,1,1,chai
11/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3965,16.59,1,0,hộp
11/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1550,17.35,1,1,lọ
11/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3704,17.34,1,0,chai
12/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1482,17.49,1,0,chai
12/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1077,17.66,1,1,hộp
12/01/2019,Coldrex,GSK,Room temperature,3193,17.80,1,0,hộp
12/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3318,17.58,1,1,hộp
12/01/2019,Loratadine 10mg,Sanofi,Room temperature,1552,17.18,1,0,hộp
12/01/2019,Omeprazole 20mg,STADA,Room temperature,1678,18.89,1,0,hộp
12/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4362,19.05,1,0,hộp
12/01/2019,Salbutamol inhaler,GSK,Cool place,1402,18.70,1,1,chai
12/01/2019,Salonpas,Hisamitsu,Dry place,4708,16.55,1,0,gói
12/01/2019,Smecta,Ipsen,Dry place,2584,17.81,1,0,gói
12/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2729,17.83,1,0,chai
12/01/2019,V-Rohto,Rohto,Cool place,3452,18.59,1,1,chai
12/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3964,16.61,1,0,hộp
12/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1549,17.34,1,0,lọ
12/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3712,17.40,1,0,chai
13/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1492,17.34,1,0,chai
13/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1075,17.67,1,1,hộp
13/01/2019,Coldrex,GSK,Room temperature,3182,17.70,1,0,hộp
13/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3320,17.69,1,0,hộp
13/01/2019,Loratadine 10mg,Sanofi,Room temperature,1556,17.13,1,0,hộp
13/01/2019,Omeprazole 20mg,STADA,Room temperature,1678,18.89,1,1,hộp
13/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4379,19.10,1,0,hộp
13/01/2019,Salbutamol inhaler,GSK,Cool place,1402,18.68,1,0,chai
13/01/2019,Salonpas,Hisamitsu,Dry place,4700,16.47,1,0,gói
13/01/2019,Smecta,Ipsen,Dry place,2583,17.79,1,1,gói
13/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2736,17.98,1,0,chai
13/01/2019,V-Rohto,Rohto,Cool place,3448,18.65,1,0,chai
13/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3963,16.64,1,0,hộp
13/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1548,17.33,1,0,lọ
13/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3717,17.43,1,1,chai
14/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1495,17.22,1,0,chai
14/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1075,17.67,1,0,hộp
14/01/2019,Coldrex,GSK,Room temperature,3171,17.67,1,0,hộp
14/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3323,17.78,1,1,hộp
14/01/2019,Loratadine 10mg,Sanofi,Room temperature,1559,17.11,1,0,hộp
14/01/2019,Omeprazole 20mg,STADA,Room temperature,1678,18.89,1,0,hộp
14/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4387,19.11,1,0,hộp
14/01/2019,Salbutamol inhaler,GSK,Cool place,1402,18.67,1,0,chai
14/01/2019,Salonpas,Hisamitsu,Dry place,4697,16.44,1,0,gói
14/01/2019,Smecta,Ipsen,Dry place,2583,17.78,1,1,gói
14/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2739,18.11,1,0,chai
14/01/2019,V-Rohto,Rohto,Cool place,3447,18.67,1,1,chai
14/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3962,16.67,1,0,hộp
14/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1548,17.33,1,0,lọ
14/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3718,17.44,1,0,chai
15/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1489,17.11,1,0,chai
15/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1075,17.61,1,1,hộp
15/01/2019,Coldrex,GSK,Room temperature,3156,17.67,1,0,hộp
15/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3330,17.86,1,0,hộp
15/01/2019,Loratadine 10mg,Sanofi,Room temperature,1562,17.17,1,0,hộp
15/01/2019,Omeprazole 20mg,STADA,Room temperature,1678,18.80,1,1,hộp
15/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4389,19.04,1,0,hộp
15/01/2019,Salbutamol inhaler,GSK,Cool place,1402,18.67,1,0,chai
15/01/2019,Salonpas,Hisamitsu,Dry place,4698,16.50,1,0,gói
15/01/2019,Smecta,Ipsen,Dry place,2585,17.78,1,1,gói
15/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2738,18.25,1,0,chai
15/01/2019,V-Rohto,Rohto,Cool place,3448,18.65,1,1,chai
15/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3958,16.81,1,0,hộp
15/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1550,17.39,1,0,lọ
15/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3708,17.39,1,1,chai
16/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1474,17.00,1,0,chai
16/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1076,17.47,1,0,hộp
16/01/2019,Coldrex,GSK,Room temperature,3138,17.67,1,1,hộp
16/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3344,17.95,1,0,hộp
16/01/2019,Loratadine 10mg,Sanofi,Room temperature,1566,17.33,1,0,hộp
16/01/2019,Omeprazole 20mg,STADA,Room temperature,1679,18.58,1,1,hộp
16/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4391,18.84,1,1,hộp
16/01/2019,Salbutamol inhaler,GSK,Cool place,1403,18.67,1,0,chai
16/01/2019,Salonpas,Hisamitsu,Dry place,4702,16.65,1,0,gói
16/01/2019,Smecta,Ipsen,Dry place,2591,17.79,1,0,gói
16/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2736,18.40,1,0,chai
16/01/2019,V-Rohto,Rohto,Cool place,3453,18.61,1,0,chai
16/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3950,17.12,1,0,hộp
16/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1555,17.53,1,0,lọ
16/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3682,17.25,1,0,chai
17/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1454,16.90,1,0,chai
17/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1077,17.27,1,0,hộp
17/01/2019,Coldrex,GSK,Room temperature,3117,17.67,1,1,hộp
17/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3363,18.04,1,1,hộp
17/01/2019,Loratadine 10mg,Sanofi,Room temperature,1570,17.55,1,0,hộp
17/01/2019,Omeprazole 20mg,STADA,Room temperature,1680,18.28,1,0,hộp
17/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4392,18.57,1,1,hộp
17/01/2019,Salbutamol inhaler,GSK,Cool place,1405,18.67,1,1,chai
17/01/2019,Salonpas,Hisamitsu,Dry place,4709,16.86,1,1,gói
17/01/2019,Smecta,Ipsen,Dry place,2601,17.80,1,0,gói
17/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2733,18.55,1,0,chai
17/01/2019,V-Rohto,Rohto,Cool place,3459,18.56,1,0,chai
17/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3939,17.53,1,0,hộp
17/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1563,17.73,1,0,lọ
17/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3647,17.05,1,0,chai
18/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1433,16.81,1,0,chai
18/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1078,17.06,1,0,hộp
18/01/2019,Coldrex,GSK,Room temperature,3097,17.67,1,0,hộp
18/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3388,18.11,1,1,hộp
18/01/2019,Loratadine 10mg,Sanofi,Room temperature,1574,17.78,1,0,hộp
18/01/2019,Omeprazole 20mg,STADA,Room temperature,1681,17.95,1,0,hộp
18/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4392,18.26,1,1,hộp
18/01/2019,Salbutamol inhaler,GSK,Cool place,1407,18.67,1,0,chai
18/01/2019,Salonpas,Hisamitsu,Dry place,4718,17.09,1,0,gói
18/01/2019,Smecta,Ipsen,Dry place,2613,17.82,1,0,gói
18/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2731,18.68,1,0,chai
18/01/2019,V-Rohto,Rohto,Cool place,3468,18.48,1,1,chai
18/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3928,17.97,1,0,hộp
18/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1574,17.94,1,0,lọ
18/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3610,16.84,1,0,chai
19/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1413,16.73,1,0,chai
19/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1080,16.86,1,0,hộp
19/01/2019,Coldrex,GSK,Room temperature,3080,17.67,1,0,hộp
19/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3416,18.17,1,0,hộp
19/01/2019,Loratadine 10mg,Sanofi,Room temperature,1580,18.00,1,0,hộp
19/01/2019,Omeprazole 20mg,STADA,Room temperature,1682,17.64,1,0,hộp
19/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4393,17.96,1,0,hộp
19/01/2019,Salbutamol inhaler,GSK,Cool place,1409,18.67,1,1,chai
19/01/2019,Salonpas,Hisamitsu,Dry place,4729,17.31,1,0,gói
19/01/2019,Smecta,Ipsen,Dry place,2628,17.84,1,0,gói
19/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2728,18.79,1,0,chai
19/01/2019,V-Rohto,Rohto,Cool place,3479,18.40,1,1,chai
19/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3918,18.37,1,0,hộp
19/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1586,18.14,1,1,lọ
19/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3575,16.64,1,1,chai
20/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1399,16.68,1,0,chai
20/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1082,16.72,1,1,hộp
20/01/2019,Coldrex,GSK,Room temperature,3068,17.67,1,0,hộp
20/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3447,18.21,1,0,hộp
20/01/2019,Loratadine 10mg,Sanofi,Room temperature,1586,18.16,1,0,hộp
20/01/2019,Omeprazole 20mg,STADA,Room temperature,1683,17.42,1,0,hộp
20/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4395,17.71,1,1,hộp
20/01/2019,Salbutamol inhaler,GSK,Cool place,1412,18.67,1,0,chai
20/01/2019,Salonpas,Hisamitsu,Dry place,4742,17.47,1,1,gói
20/01/2019,Smecta,Ipsen,Dry place,2644,17.86,1,0,gói
20/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2726,18.86,1,1,chai
20/01/2019,V-Rohto,Rohto,Cool place,3492,18.31,1,0,chai
20/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3911,18.66,1,1,hộp
20/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1599,18.28,1,0,lọ
20/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3551,16.50,1,1,chai
21/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1394,16.67,1,0,chai
21/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1085,16.67,1,0,hộp
21/01/2019,Coldrex,GSK,Room temperature,3063,17.67,1,0,hộp
21/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3478,18.22,1,1,hộp
21/01/2019,Loratadine 10mg,Sanofi,Room temperature,1593,18.22,1,0,hộp
21/01/2019,Omeprazole 20mg,STADA,Room temperature,1685,17.33,1,1,hộp
21/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4397,17.56,1,0,hộp
21/01/2019,Salbutamol inhaler,GSK,Cool place,1416,18.67,1,0,chai
21/01/2019,Salonpas,Hisamitsu,Dry place,4757,17.56,1,1,gói
21/01/2019,Smecta,Ipsen,Dry place,2661,17.89,1,0,gói
21/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2725,18.89,1,0,chai
21/01/2019,V-Rohto,Rohto,Cool place,3507,18.22,1,0,chai
21/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3908,18.78,1,0,hộp
21/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1612,18.33,1,1,lọ
21/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3541,16.44,1,0,chai
22/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1407,16.70,1,0,chai
22/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1095,16.75,1,0,hộp
